k,mu,rho,c_p,D,U,Re_D
0.026,1.85e-05,1.18,1005.0,0.004999999999999999,0.12302871850316947,39.2361859010108
0.026,1.85e-05,1.18,1005.0,0.004999999999999999,0.19204044008558507,61.24532954080821
0.026,1.85e-05,1.18,1005.0,0.004999999999999999,0.2997635924112714,95.6002808230541
0.026,1.85e-05,1.18,1005.0,0.004999999999999999,0.4679129629950053,149.2262963065152
0.026,1.85e-05,1.18,1005.0,0.004999999999999999,0.7303840308878449,232.93328552639375
0.026,1.85e-05,1.18,1005.0,0.00610142467936405,0.10081966505238629,39.23618590101078
0.026,1.85e-05,1.18,1005.0,0.00610142467936405,0.15737344159561215,61.24532954080817
0.026,1.85e-05,1.18,1005.0,0.00610142467936405,0.2456504899791007,95.60028082305408
0.026,1.85e-05,1.18,1005.0,0.00610142467936405,0.3834456603041895,149.22629630651514
0.026,1.85e-05,1.18,1005.0,0.00610142467936405,0.5985356447635214,232.93328552639372
0.026,1.85e-05,1.18,1005.0,0.007445476623590548,0.08261977353696891,39.23618590101078
0.026,1.85e-05,1.18,1005.0,0.007445476623590548,0.12896450408367166,61.2453295408082
0.026,1.85e-05,1.18,1005.0,0.007445476623590548,0.20130584485450415,95.60028082305406
0.026,1.85e-05,1.18,1005.0,0.007445476623590548,0.31422633274574446,149.22629630651514
0.026,1.85e-05,1.18,1005.0,0.007445476623590548,0.4904884319787309,232.93328552639372
0.026,1.85e-05,1.18,1005.0,0.009085602964160699,0.06770531300370025,39.23618590101078
0.026,1.85e-05,1.18,1005.0,0.009085602964160699,0.1056839270013848,61.24532954080817
0.026,1.85e-05,1.18,1005.0,0.009085602964160699,0.16496626233488648,95.60028082305406
0.026,1.85e-05,1.18,1005.0,0.009085602964160699,0.2575024271040383,149.22629630651508
0.026,1.85e-05,1.18,1005.0,0.009085602964160699,0.4019458222910114,232.93328552639366
0.026,1.85e-05,1.18,1005.0,0.01108702443048665,0.055483199876817255,39.23618590101077
0.026,1.85e-05,1.18,1005.0,0.01108702443048665,0.08660594250947977,61.245329540808164
0.026,1.85e-05,1.18,1005.0,0.01108702443048665,0.13518667442771812,95.60028082305405
0.026,1.85e-05,1.18,1005.0,0.01108702443048665,0.21101827903813253,149.22629630651505
0.026,1.85e-05,1.18,1005.0,0.01108702443048665,0.3293868591465641,232.9332855263936
0.026,1.85e-05,1.18,1005.0,0.01352932889617669,0.045467413589870144,39.23618590101078
0.026,1.85e-05,1.18,1005.0,0.01352932889617669,0.07097190169567633,61.2453295408082
0.026,1.85e-05,1.18,1005.0,0.01352932889617669,0.11078287574780692,95.60028082305406
0.026,1.85e-05,1.18,1005.0,0.01352932889617669,0.17292541506890063,149.22629630651514
0.026,1.85e-05,1.18,1005.0,0.01352932889617669,0.2699261864696951,232.93328552639366
0.026,1.85e-05,1.18,1005.0,0.016509636244473137,0.0372596696503096,39.23618590101079
0.026,1.85e-05,1.18,1005.0,0.016509636244473137,0.05816010638934388,61.24532954080822
0.026,1.85e-05,1.18,1005.0,0.016509636244473137,0.09078443279197684,95.60028082305408
0.026,1.85e-05,1.18,1005.0,0.016509636244473137,0.14170904678522112,149.2262963065152
0.026,1.85e-05,1.18,1005.0,0.016509636244473137,0.2211993105336747,232.9332855263938
0.026,1.85e-05,1.18,1005.0,0.02014646040587032,0.030533581588188318,39.236185901010785
0.026,1.85e-05,1.18,1005.0,0.02014646040587032,0.04766108691470879,61.24532954080817
0.026,1.85e-05,1.18,1005.0,0.02014646040587032,0.0743960939967215,95.60028082305408
0.026,1.85e-05,1.18,1005.0,0.02014646040587032,0.11612783426180996,149.22629630651514
0.026,1.85e-05,1.18,1005.0,0.02014646040587032,0.1812685742739761,232.93328552639372
0.026,1.85e-05,1.18,1005.0,0.024584422144441575,0.025021681978192364,39.236185901010785
0.026,1.85e-05,1.18,1005.0,0.024584422144441575,0.039057342685804075,61.24532954080817
0.026,1.85e-05,1.18,1005.0,0.024584422144441575,0.060966166023765235,95.60028082305404
0.026,1.85e-05,1.18,1005.0,0.024584422144441575,0.09516452334040278,149.2262963065151
0.026,1.85e-05,1.18,1005.0,0.024584422144441575,0.1485461050490831,232.93328552639372
0.026,1.85e-05,1.18,1005.0,0.029999999999999995,0.020504786417194904,39.236185901010785
0.026,1.85e-05,1.18,1005.0,0.029999999999999995,0.032006740014264165,61.24532954080817
0.026,1.85e-05,1.18,1005.0,0.029999999999999995,0.04996059873521186,95.60028082305402
0.026,1.85e-05,1.18,1005.0,0.029999999999999995,0.07798549383250085,149.2262963065151
0.026,1.85e-05,1.18,1005.0,0.029999999999999995,0.12173067181464076,232.93328552639366
